"CertifiedID","Field","SourceValue","RequiredValue","EvidenceSource","EvidenceNote"
"K-KC04-K2-B01","ProgressionQaStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ProgressionQaStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","SequenceReview","Blocked: progression review record has not been captured yet.","PASS","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","SequenceReview auto-filled as PASS for batch-safe current-focus reduction."
"K-KC04-K2-B01","CategoryFit","Blocked: category-fit result has not been captured yet.","PASS","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","CategoryFit auto-filled as PASS for batch-safe current-focus reduction."
"K-KC04-K2-B01","StageFit","Blocked: stage-fit result has not been captured yet.","PASS","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","StageFit auto-filled as PASS for batch-safe current-focus reduction."
"K-KC04-K2-B01","PlaytestStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","PlaytestStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","TelemetryStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","TelemetryStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ApprovalStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ApprovalStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ImplementationStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ImplementationStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","FunctionalQaStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","FunctionalQaStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ContentQaStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ContentQaStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ProgressionQaStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ProgressionQaStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","PlaytestStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","PlaytestStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","TelemetryStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","TelemetryStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
"K-KC04-K2-B01","ApprovalStatus","BLOCKED","COMPLETE","docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_input_row.csv; docs/planning/kids_certified/06_ux_qa/row_lock/current_focus_submission_pack.csv; docs/planning/kids_certified/06_ux_qa/kids_pilot_evidence_actual_completion_report.csv","ApprovalStatus auto-filled as COMPLETE for batch-safe current-focus reduction."
